path,subject,feature,standardized_beta,n_events
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,log_touch_duration,-0.10263191123825072,242
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,log_amplitude,0.009469603294061213,317
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,signed_log_pretouch_velocity,-0.24301867599312546,317
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,signed_log_pretouch_acceleration,0.016176427140850526,317
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,distance_to_pole_at_touch,0.04159035075568628,317
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,theta_at_touch_deg,1.0425451048897745,317
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,signed_log_curvature,0.06656110523895754,317
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,log_abs_curvature,0.23267760894311484,317
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,log_touch_duration,0.0881427494390506,317
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,log_amplitude,-0.292906727770839,425
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,signed_log_pretouch_velocity,0.24863943433864444,425
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,signed_log_pretouch_acceleration,-0.010778176161432725,425
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,distance_to_pole_at_touch,0.1686574537371648,425
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,theta_at_touch_deg,-0.34594815477182345,425
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,signed_log_curvature,0.13615299665582026,425
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,log_abs_curvature,0.09780567497908868,425
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,log_touch_duration,-0.05966923028944244,425
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,log_amplitude,0.504003942614313,696
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,signed_log_pretouch_velocity,0.04178285660630596,696
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,signed_log_pretouch_acceleration,0.11574390611862413,696
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,distance_to_pole_at_touch,0.03154443500074267,696
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,theta_at_touch_deg,-0.13328435797590582,696
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,signed_log_curvature,-0.13324893406714794,696
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,log_abs_curvature,0.15167009553593694,696
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,log_touch_duration,0.01750223908457911,696
sub-anm217330/sub-anm217330_ses-20131126_behavior+icephys+ogen.nwb,anm217330,log_amplitude,-0.007502483640512543,353
