path,subject,n_events,n_protraction,n_retraction,base_predictive_score,phase_predictive_score,delta_predictive_score,response_window_ms,minimum_neighbor_ms,endpoint,base_model,phase_basis,regularization_strength,n_selected_events,n_sessions,n_subjects,n_modeled_events,median_delta_predictive_score,mean_delta_predictive_score,n_positive,n_nonzero,p_two_sided,p_sign_two_sided,ci_low,ci_high
sub-anm266945/sub-anm266945_ses-20141221_behavior+icephys+ogen.nwb,anm266945,216,155,61,0.009486542918247687,0.033370716148187096,0.02388417322993941,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm266945/sub-anm266945_ses-20141222_obj-14qffnp_behavior+icephys+ogen.nwb,anm266945,333,284,49,0.3558755290730372,0.36154845272599756,0.005672923652960349,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm266945/sub-anm266945_ses-20141222_obj-1574tgg_behavior+icephys+ogen.nwb,anm266945,97,76,21,0.03602034918641317,0.08527173465204874,0.049251385465635567,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-jf35892/sub-jf35892_ses-20100219_behavior+icephys.nwb,jf35892,228,162,66,0.00637573730723473,0.08096274174816132,0.07458700444092659,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-jf35892/sub-jf35892_ses-20100308_behavior+icephys.nwb,jf35892,415,229,186,0.10789822862827303,0.13250899088205137,0.02461076225377834,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-jf35892/sub-jf35892_ses-20100310_behavior+icephys.nwb,jf35892,336,242,94,0.006510867802897113,0.051246680596009564,0.04473581279311245,50,50,count,context,two_harmonics,1.0,10097,30,19,9247,0.020265074598484034,0.04248218118459881,16,19,0.000335693359375,0.004425048828125,0.004631237325249837,0.03362436463891871
sub-anm106211/sub-anm106211_ses-20100925_behavior+icephys.nwb,anm106211,462,282,180,0.38433009775435945,0.4974375482621882,0.11310745050782878,50,50,count,continuous_kinematics,two_harmonics,1.0,10097,30,19,9247,0.0078838593285111,0.02193115246396205,15,19,0.0016937255859375,0.0192108154296875,0.0008262166543120397,0.021207430079203615
sub-anm106213/sub-anm106213_ses-20101215_obj-1copi4i_behavior+icephys.nwb,anm106213,621,528,93,0.004427414986812983,0.003956321994353584,-0.00047109299245939873,50,50,count,continuous_kinematics,two_harmonics,1.0,10097,30,19,9247,0.0078838593285111,0.02193115246396205,15,19,0.0016937255859375,0.0192108154296875,0.0008262166543120397,0.021207430079203615
sub-anm106213/sub-anm106213_ses-20101215_obj-1ykz3wz_behavior+icephys.nwb,anm106213,264,232,32,0.08539298599950906,0.07989401218383552,-0.005498973815673547,50,50,count,continuous_kinematics,two_harmonics,1.0,10097,30,19,9247,0.0078838593285111,0.02193115246396205,15,19,0.0016937255859375,0.0192108154296875,0.0008262166543120397,0.021207430079203615
sub-anm131970/sub-anm131970_ses-20110511_behavior+icephys.nwb,anm131970,120,74,46,0.20496985425494063,0.20592120669324987,0.0009513524383092387,50,50,count,continuous_kinematics,two_harmonics,1.0,10097,30,19,9247,0.0078838593285111,0.02193115246396205,15,19,0.0016937255859375,0.0192108154296875,0.0008262166543120397,0.021207430079203615
sub-anm134333/sub-anm134333_ses-20110601_behavior+icephys.nwb,anm134333,224,185,39,-0.004687279899159291,-0.0038610632448472515,0.0008262166543120397,50,50,count,continuous_kinematics,two_harmonics,1.0,10097,30,19,9247,0.0078838593285111,0.02193115246396205,15,19,0.0016937255859375,0.0192108154296875,0.0008262166543120397,0.021207430079203615
sub-anm17702/sub-anm17702_ses-20100507_behavior+icephys.nwb,anm17702,502,471,31,0.0533573584967626,0.07523612145486258,0.021878762958099984,50,50,count,continuous_kinematics,two_harmonics,1.0,10097,30,19,9247,0.0078838593285111,0.02193115246396205,15,19,0.0016937255859375,0.0192108154296875,0.0008262166543120397,0.021207430079203615
sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb,anm211295,230,193,37,0.07148028942035167,0.12438974607393771,0.05290945665358604,50,50,count,continuous_kinematics,two_harmonics,1.0,10097,30,19,9247,0.0078838593285111,0.02193115246396205,15,19,0.0016937255859375,0.0192108154296875,0.0008262166543120397,0.021207430079203615
sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb,anm215592,227,204,23,-0.013319971786585505,-0.002160627061754239,0.011159344724831266,50,50,count,continuous_kinematics,two_harmonics,1.0,10097,30,19,9247,0.0078838593285111,0.02193115246396205,15,19,0.0016937255859375,0.0192108154296875,0.0008262166543120397,0.021207430079203615
sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb,anm215592,303,275,28,0.22573560349154864,0.23034397742373958,0.0046083739321909345,50,50,count,continuous_kinematics,two_harmonics,1.0,10097,30,19,9247,0.0078838593285111,0.02193115246396205,15,19,0.0016937255859375,0.0192108154296875,0.0008262166543120397,0.021207430079203615
sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb,anm215592,400,327,73,0.013690244160293519,0.010247210180902466,-0.0034430339793910525,50,50,count,continuous_kinematics,two_harmonics,1.0,10097,30,19,9247,0.0078838593285111,0.02193115246396205,15,19,0.0016937255859375,0.0192108154296875,0.0008262166543120397,0.021207430079203615
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,639,567,72,0.3923301113260613,0.41922309567213334,0.026892984346072013,50,50,count,continuous_kinematics,two_harmonics,1.0,10097,30,19,9247,0.0078838593285111,0.02193115246396205,15,19,0.0016937255859375,0.0192108154296875,0.0008262166543120397,0.021207430079203615
