analysis,response_window_ms,baseline_window_ms,minimum_previous_interval_ms,n_selected_events,n_sessions,n_subjects,median_beta,mean_beta,n_positive,p_two_sided,ci_low,ci_high,q_within_analysis
baseline_subtracted_rate,50,10.0,100,6611,29,19,-0.014962037739337089,-0.014154810227090454,8,0.5412178039550781,-0.06804514748285222,0.023519529855442367,0.6443069094703311
baseline_subtracted_rate,50,10.0,250,1574,2,2,-0.05142430343574233,-0.05142430343574233,1,,-0.17181233226148485,0.06896372539000019,
baseline_subtracted_rate,50,20.0,0,13692,36,20,0.12292778837448463,0.10311522609276587,14,0.0042209625244140625,0.00025193068029409973,0.16311142416068206,0.016580928455699574
baseline_subtracted_rate,50,20.0,20,13498,36,20,0.11627015936550046,0.10232040769866205,14,0.00485992431640625,0.000777121500010719,0.16884747621950988,0.016580928455699574
baseline_subtracted_rate,50,20.0,30,13101,36,20,0.09658377581759942,0.0891649503987149,14,0.01068878173828125,0.0029648077205363527,0.16335972795158166,0.02055534949669471
baseline_subtracted_rate,50,20.0,50,10802,34,20,0.02294066673851672,0.03820319278747317,13,0.16495704650878906,-0.020206076064619143,0.09662166686453363,0.22910700903998482
baseline_subtracted_rate,50,20.0,100,6611,29,19,-0.01523184624726319,-0.0009396425563204759,9,0.7982521057128906,-0.06804514748285222,0.06634528156021138,0.8676653322966202
baseline_subtracted_rate,50,20.0,250,1574,2,2,-0.0672924713718695,-0.0672924713718695,1,,-0.17181233226148485,0.037227389517745846,
baseline_subtracted_rate,50,30.0,0,13692,36,20,0.16121632230197108,0.12254390083960083,15,0.0023250579833984375,0.032145992984243296,0.20179409316748,0.016580928455699574
baseline_subtracted_rate,50,30.0,20,13498,36,20,0.1346654993493358,0.1237356185915669,14,0.006389617919921875,0.0007860095385395262,0.20717039675940502,0.016580928455699574
baseline_subtracted_rate,50,30.0,30,13101,36,20,0.13972286374478154,0.11799623123437222,15,0.005580902099609375,0.011518116416725437,0.20039124145766618,0.016580928455699574
baseline_subtracted_rate,50,30.0,50,10802,34,20,0.013309289775598473,0.04675778443245781,12,0.2773551940917969,-0.026876306408459994,0.0867968891681563,0.36494104485762746
baseline_subtracted_rate,50,30.0,100,6611,29,19,-0.013276279277780634,0.0012538759046299274,9,0.7982521057128906,-0.06804514748285222,0.06823250224145094,0.8676653322966202
baseline_subtracted_rate,50,30.0,250,1574,2,2,-0.09375053134909322,-0.09375053134909322,0,,-0.17181233226148485,-0.015688730436701596,
baseline_subtracted_rate,50,40.0,0,13692,36,20,0.1343775036789649,0.125998275127719,16,0.002712249755859375,0.037457494192818214,0.21161493209714613,0.016580928455699574
baseline_subtracted_rate,50,40.0,20,13498,36,20,0.12620717300157303,0.12424077164391152,14,0.0072956085205078125,-0.006144796512350573,0.22072764380912335,0.016580928455699574
baseline_subtracted_rate,50,40.0,30,13101,36,20,0.15941784198230552,0.12438751163763417,14,0.0072956085205078125,0.005740474907663057,0.20932959563671305,0.016580928455699574
baseline_subtracted_rate,50,40.0,50,10802,34,20,0.026235769675941836,0.05857543877990573,11,0.16495704650878906,-0.02965020131919774,0.12435984361024971,0.22910700903998482
baseline_subtracted_rate,50,40.0,100,6611,29,19,-0.004403159870623452,-0.00016482467057446054,9,0.8595733642578125,-0.06804514748285222,0.07328880122479889,0.8953889211018881
baseline_subtracted_rate,50,40.0,250,1574,2,2,-0.1162510915855635,-0.1162510915855635,0,,-0.17181233226148485,-0.06068985090964216,
baseline_subtracted_rate,50,50.0,0,13692,36,20,0.1321626962752882,0.1200403154361672,16,0.0019855499267578125,0.036907511252209785,0.19657412145367462,0.016580928455699574
baseline_subtracted_rate,50,50.0,20,13498,36,20,0.11860957427733321,0.11963760260071779,14,0.006389617919921875,-0.006708922856449442,0.20443330415132432,0.016580928455699574
baseline_subtracted_rate,50,50.0,30,13101,36,20,0.15273669514923405,0.12178906294829417,14,0.005580902099609375,-0.008608093082314387,0.20729826605354795,0.016580928455699574
baseline_subtracted_rate,50,50.0,50,10802,34,20,0.07452731363788576,0.0815896981155092,12,0.03623390197753906,-0.023840467114926187,0.15079974570570084,0.056615471839904785
baseline_subtracted_rate,50,50.0,100,6611,29,19,-0.016880294288731057,0.007699430080922355,9,1.0,-0.06804514748285222,0.07155007766538946,1.0
baseline_subtracted_rate,50,50.0,250,1574,2,2,-0.10658187192309418,-0.10658187192309418,0,,-0.17181233226148485,-0.04135141158470351,
