analysis,response_window_ms,baseline_window_ms,minimum_previous_interval_ms,n_selected_events,n_sessions,n_subjects,median_beta,mean_beta,n_positive,p_two_sided,ci_low,ci_high,q_sensitivity
baseline_response_window_sensitivity,40,10,0,15270,37,20,0.07873345003376486,0.0762893920660103,14,0.0072956085205078125,-0.0008292420287017502,0.12580519496571285,0.01586001852284307
baseline_response_window_sensitivity,40,10,100,7026,29,19,-0.006225127958996157,0.0004408306995950225,9,0.6507492065429688,-0.07979962278825217,0.05384892852740987,0.8134365081787109
baseline_response_window_sensitivity,40,20,0,15270,37,20,0.11574996136326249,0.09708821439470613,14,0.006389617919921875,0.004791708198640877,0.16334548936270718,0.015213375999813988
baseline_response_window_sensitivity,40,20,100,7026,29,19,-0.016655004983191612,0.008389844510996109,9,0.8287849426269531,-0.07998868219179804,0.06105585896007965,0.8953889211018881
baseline_response_window_sensitivity,40,30,0,15270,37,20,0.11759027252240646,0.11509443577765943,14,0.0042209625244140625,0.025103303853062007,0.1904847549065439,0.011107796116879112
baseline_response_window_sensitivity,40,30,100,7026,29,19,-0.008293921585839636,0.009741244391748435,9,0.8595733642578125,-0.07806299309278586,0.06320279255331906,0.8953889211018881
baseline_response_window_sensitivity,40,40,0,15270,37,20,0.11426123190431174,0.11519284323791279,15,0.00485992431640625,0.03717773900993241,0.1905033953738498,0.012149810791015625
baseline_response_window_sensitivity,40,40,100,7026,29,19,-0.006544801233580033,0.010944384838194455,9,0.9217147827148438,-0.0674512564090873,0.06351083364636192,0.9405252884845344
baseline_response_window_sensitivity,40,50,0,15270,37,20,0.10608256952929813,0.10737640372395545,15,0.0072956085205078125,0.032030417435712326,0.19147288705651075,0.01586001852284307
baseline_response_window_sensitivity,40,50,100,7026,29,19,-0.014826633522482924,0.019761102786537643,9,0.8287849426269531,-0.07280818458764445,0.0844084858208276,0.8953889211018881
baseline_response_window_sensitivity,50,10,0,13692,36,20,0.09481200106330923,0.07419414167557674,13,0.009435653686523438,-0.003751715113437429,0.11831022171771902,0.019657611846923828
baseline_response_window_sensitivity,50,10,100,6611,29,19,-0.014962037739337089,-0.014154810227090454,8,0.5412178039550781,-0.06804514748285222,0.023519529855442367,0.7507851249293277
baseline_response_window_sensitivity,50,20,0,13692,36,20,0.12292778837448463,0.10311522609276587,14,0.0042209625244140625,0.00025193068029409973,0.16311142416068206,0.011107796116879112
baseline_response_window_sensitivity,50,20,100,6611,29,19,-0.01523184624726319,-0.0009396425563204759,9,0.7982521057128906,-0.06804514748285222,0.06634528156021138,0.8953889211018881
baseline_response_window_sensitivity,50,30,0,13692,36,20,0.16121632230197108,0.12254390083960083,15,0.0023250579833984375,0.032145992984243296,0.20179409316748,0.009547747098482572
baseline_response_window_sensitivity,50,30,100,6611,29,19,-0.013276279277780634,0.0012538759046299274,9,0.7982521057128906,-0.06804514748285222,0.06823250224145094,0.8953889211018881
baseline_response_window_sensitivity,50,40,0,13692,36,20,0.1343775036789649,0.125998275127719,16,0.002712249755859375,0.037457494192818214,0.21161493209714613,0.009686606270926339
baseline_response_window_sensitivity,50,40,100,6611,29,19,-0.004403159870623452,-0.00016482467057446054,9,0.8595733642578125,-0.06804514748285222,0.07328880122479889,0.8953889211018881
baseline_response_window_sensitivity,50,50,0,13692,36,20,0.1321626962752882,0.1200403154361672,16,0.0019855499267578125,0.036907511252209785,0.19657412145367462,0.009547747098482572
baseline_response_window_sensitivity,50,50,100,6611,29,19,-0.016880294288731057,0.007699430080922355,9,1.0,-0.06804514748285222,0.07155007766538946,1.0
