merge_a,merge_b,analysis,response_window_ms,baseline_window_ms,minimum_previous_interval_ms,n_groups,median,n_positive,n_nonzero,p_wilcoxon,p_sign,q_wilcoxon
anm244024,jf35892,post_only,50,,250,2,-0.1063903969479221,0,2,0.5,0.5,0.6818181818181818
anm244024,jf35892,baseline_subtracted_rate,50,10.0,0,19,0.1008349585409073,13,19,0.007144927978515625,0.1670684814453125,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,10.0,20,19,0.0624498449528684,14,19,0.012359619140625,0.063568115234375,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,10.0,30,19,0.0715536129810177,15,19,0.01082611083984375,0.0192108154296875,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,10.0,50,19,0.0161968290407778,12,19,0.24125289916992188,0.359283447265625,0.3618793487548828
anm244024,jf35892,baseline_subtracted_rate,50,10.0,100,18,-0.008694204932535275,7,18,0.7018814086914062,0.480682373046875,0.8773517608642578
anm244024,jf35892,baseline_subtracted_rate,50,10.0,250,2,-0.05142430343574234,1,2,1.0,1.0,1.0
anm244024,jf35892,baseline_subtracted_rate,50,20.0,0,19,0.1090429246720323,13,19,0.00823211669921875,0.1670684814453125,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,20.0,20,19,0.1101606091879167,13,19,0.00945281982421875,0.1670684814453125,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,20.0,30,19,0.1332961170991126,13,19,0.012359619140625,0.1670684814453125,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,20.0,50,19,0.029996551894031,13,19,0.07283401489257812,0.1670684814453125,0.12853061451631434
anm244024,jf35892,baseline_subtracted_rate,50,20.0,100,18,-0.0047686120106421245,9,18,0.932281494140625,1.0,1.0
anm244024,jf35892,baseline_subtracted_rate,50,20.0,250,2,-0.0672924713718695,1,2,1.0,1.0,1.0
anm244024,jf35892,baseline_subtracted_rate,50,30.0,0,19,0.1596969895746452,14,19,0.00457763671875,0.063568115234375,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,30.0,20,19,0.1157172944323541,13,19,0.012359619140625,0.1670684814453125,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,30.0,30,19,0.1575822234025173,14,19,0.00945281982421875,0.063568115234375,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,30.0,50,19,0.0158847815830023,12,19,0.1956329345703125,0.359283447265625,0.3088941072162829
anm244024,jf35892,baseline_subtracted_rate,50,30.0,100,18,-0.002559310507510925,9,18,1.0,1.0,1.0
anm244024,jf35892,baseline_subtracted_rate,50,30.0,250,2,-0.09375053134909314,0,2,0.5,0.5,0.6521739130434783
anm244024,jf35892,baseline_subtracted_rate,50,40.0,0,19,0.1243023096164022,15,19,0.005329132080078125,0.0192108154296875,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,40.0,20,19,0.1188308076939495,13,19,0.014068603515625,0.1670684814453125,0.02813720703125
anm244024,jf35892,baseline_subtracted_rate,50,40.0,30,19,0.1472467369737671,13,19,0.014068603515625,0.1670684814453125,0.02813720703125
