response_window_ms,minimum_neighbor_ms,endpoint,base_model,phase_basis,regularization_strength,n_selected_events,n_sessions,n_subjects,n_modeled_events,median_delta_predictive_score,mean_delta_predictive_score,n_positive,n_nonzero,p_two_sided,p_sign_two_sided,ci_low,ci_high,q_primary,q_sign_primary
50,250,count,continuous_kinematics,two_harmonics,1.0,1014,0,0,0,,,0,0,,,,,,
50,50,count,context,first_harmonic,0.1,12773,35,20,12296,0.009446931627601074,0.042459346024964824,12,20,0.06372261047363281,0.5034446716308594,-0.006674958830384492,0.0387326315227452,,
50,50,count,context,first_harmonic,1.0,12773,35,20,12296,0.009728194814066504,0.027268686669976568,15,20,0.001689910888671875,0.04138946533203125,0.0019320164534410433,0.02134654746141712,,
50,50,count,context,first_harmonic,10.0,12773,35,20,12296,0.002165494543374946,0.006641794900854004,15,20,0.0005855560302734375,0.04138946533203125,0.0005907080474161774,0.005616627330016555,,
50,50,count,context,piecewise_branches,0.1,12773,35,20,12296,0.008066576393384206,0.037543770263060064,13,20,0.05316925048828125,0.26317596435546875,-0.0045880819184480615,0.043361614313211394,,
50,50,count,context,piecewise_branches,1.0,12773,35,20,12296,0.005490932681914917,0.0296887071036125,16,20,0.0003223419189453125,0.01181793212890625,0.003636028778369743,0.02003633421899731,,
50,50,count,context,piecewise_branches,10.0,12773,35,20,12296,0.002809581065457256,0.012259476441224751,16,20,0.0002613067626953125,0.01181793212890625,0.000526319782575807,0.006302732442858339,,
50,50,count,continuous_kinematics,first_harmonic,0.1,12773,35,20,12296,0.0013999030843584448,0.00981819094419029,10,20,0.20244979858398438,1.0,-0.004213983466117288,0.0207833646511989,,
50,50,count,continuous_kinematics,first_harmonic,1.0,12773,35,20,12296,0.003961420051131814,0.01122434672391712,13,20,0.017181396484375,0.26317596435546875,-0.0008158781847534269,0.011692041315854274,,
50,50,count,continuous_kinematics,first_harmonic,10.0,12773,35,20,12296,0.0017850626965795202,0.005245025624395064,15,20,0.0005855560302734375,0.04138946533203125,0.0005451410654361277,0.004278096455470087,,
50,50,count,continuous_kinematics,piecewise_branches,0.1,12773,35,20,12296,-0.0007267430901536642,0.00825549317929224,10,20,0.6476554870605469,1.0,-0.0102502118645863,0.009831891554388822,,
50,50,count,continuous_kinematics,piecewise_branches,1.0,12773,35,20,12296,0.002726147225228459,0.012602549271881022,14,20,0.026641845703125,0.11531829833984375,0.000691015078817081,0.01184868335262268,,
50,50,count,continuous_kinematics,piecewise_branches,10.0,12773,35,20,12296,0.002027659140929783,0.009674124909820886,16,20,0.0002613067626953125,0.01181793212890625,0.00051185877829929,0.005111923468290092,,
50,50,count,context,two_harmonics,0.01,12773,35,20,12296,0.012278923605313408,0.04340395377617669,13,20,0.15364646911621094,0.26317596435546875,-0.01187735601640788,0.07520823397495047,,
