path,subject,beta_log_previous_interval,n_events,analysis,response_window_ms,baseline_window_ms,minimum_previous_interval_ms,n_selected_events,n_sessions,n_subjects,median_beta,mean_beta,n_positive,p_two_sided,ci_low,ci_high
sub-anm226694/sub-anm226694_ses-20140222_obj-cj20ns_behavior+icephys+ogen.nwb,anm226694,-0.037534215226835005,716,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm226694/sub-anm226694_ses-20140225_behavior+icephys+ogen.nwb,anm226694,0.05461235195117539,841,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm226695/sub-anm226695_ses-20140224_obj-1d0uka0_behavior+icephys+ogen.nwb,anm226695,0.11675835682951713,155,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm226695/sub-anm226695_ses-20140224_obj-y42tpg_behavior+icephys+ogen.nwb,anm226695,-0.02880940040994885,248,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm226695/sub-anm226695_ses-20140225_behavior+icephys+ogen.nwb,anm226695,0.04839113248460011,310,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm234230/sub-anm234230_ses-20140119_behavior+icephys+ogen.nwb,anm234230,-0.07721395522497845,454,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm234231/sub-anm234231_ses-20140126_behavior+icephys+ogen.nwb,anm234231,-0.04188050220258624,282,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm234232/sub-anm234232_ses-20140108_behavior+icephys+ogen.nwb,anm234232,0.021678222386766532,468,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm244024/sub-anm244024_ses-20141111_behavior+icephys+ogen.nwb,anm244024,-0.16337207376786586,93,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
sub-anm244024/sub-anm244024_ses-20141112_obj-8tj80c_behavior+icephys+ogen.nwb,anm244024,0.011988350703579606,263,baseline_response_window_sensitivity,10,10,0,16950,38,21,0.03733862754691386,0.06907159951169944,16,0.017546653747558594,0.011988350703579606,0.10351376477211112
