merge_a,merge_b,endpoint,base_model,n_groups,median,n_positive,n_nonzero,p_wilcoxon,p_sign,q_wilcoxon,q_sign
anm226694,anm244024,any_spike,continuous_kinematics,19,0.0095105363939091,12,19,0.18186569213867188,0.359283447265625,0.18186569213867188,0.359283447265625
anm226694,anm244025,count,context,19,0.0146381615421686,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm226694,anm244025,count,continuous_kinematics,19,0.0079079365151952,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm226694,anm244025,any_spike,context,19,0.0052476485641984,11,19,0.22532272338867188,0.6476058959960938,0.25792694091796875,0.6476058959960938
anm226694,anm244025,any_spike,continuous_kinematics,19,0.0095105363939091,12,19,0.25792694091796875,0.359283447265625,0.25792694091796875,0.4790445963541667
anm226694,anm244028,count,context,19,0.01523287829148675,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm226694,anm244028,count,continuous_kinematics,19,0.008923943531095,14,19,0.003917694091796875,0.063568115234375,0.00783538818359375,0.12713623046875
anm226694,anm244028,any_spike,context,19,0.0052476485641984,11,19,0.18186569213867188,0.6476058959960938,0.24248758951822916,0.6476058959960938
anm226694,anm244028,any_spike,continuous_kinematics,19,0.009711663105966401,11,19,0.3954620361328125,0.6476058959960938,0.3954620361328125,0.6476058959960938
anm226694,anm266945,count,context,19,0.0158275950408049,14,19,0.000789642333984375,0.063568115234375,0.0031585693359375,0.12713623046875
anm226694,anm266945,count,continuous_kinematics,19,0.008923943531095,14,19,0.0016937255859375,0.063568115234375,0.003387451171875,0.12713623046875
anm226694,anm266945,any_spike,context,19,0.015291803426662,12,19,0.1336212158203125,0.359283447265625,0.17816162109375,0.4790445963541667
anm226694,anm266945,any_spike,continuous_kinematics,19,0.0095105363939091,11,19,0.3524589538574219,0.6476058959960938,0.3524589538574219,0.6476058959960938
anm226694,anm266951,count,context,20,0.01523287829148675,15,20,0.0003948211669921875,0.04138946533203125,0.00157928466796875,0.0827789306640625
