path,subject,n_events,n_protraction,n_retraction,base_predictive_score,phase_predictive_score,delta_predictive_score,analysis,response_window_ms,minimum_neighbor_ms,regularization_strength,n_selected_events,n_sessions,n_subjects,n_modeled_events,median_delta_predictive_score,mean_delta_predictive_score,n_positive,n_nonzero,p_two_sided,p_sign_two_sided,ci_low,ci_high
sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb,anm215592,815,723,92,0.45158920623906473,0.4789672950067789,0.027378088767714193,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm217330/sub-anm217330_ses-20131126_behavior+icephys+ogen.nwb,anm217330,410,367,43,0.0044395308942292155,0.0016356619948487694,-0.002803868899380446,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm226692/sub-anm226692_ses-20140224_behavior+icephys+ogen.nwb,anm226692,800,648,152,0.03196091963990966,0.03386409780146182,0.001903178161552166,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm226694/sub-anm226694_ses-20140222_obj-1noi7y3_behavior+icephys+ogen.nwb,anm226694,440,333,107,0.032561993878448936,0.04217617640718563,0.009614182528736692,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm226694/sub-anm226694_ses-20140222_obj-cj20ns_behavior+icephys+ogen.nwb,anm226694,442,380,62,0.07856283634487737,0.08239495180826462,0.0038321154633872423,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm226694/sub-anm226694_ses-20140225_behavior+icephys+ogen.nwb,anm226694,596,368,228,0.14244276434487768,0.17100622790396292,0.028563463559085234,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm226695/sub-anm226695_ses-20140224_obj-1d0uka0_behavior+icephys+ogen.nwb,anm226695,114,98,16,0.06839682537241043,0.07792909692566996,0.00953227155325953,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm226695/sub-anm226695_ses-20140224_obj-y42tpg_behavior+icephys+ogen.nwb,anm226695,186,170,16,0.13333941398489402,0.15981233372973747,0.02647291974484345,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm226695/sub-anm226695_ses-20140225_behavior+icephys+ogen.nwb,anm226695,200,131,69,0.10816370841714962,0.15796694799287492,0.0498032395757253,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
sub-anm234230/sub-anm234230_ses-20140119_behavior+icephys+ogen.nwb,anm234230,365,296,69,0.04618485083777257,0.048080155236917776,0.0018953043991452034,continuous_amplitude_by_phase_interaction,50,50,1.0,12773,35,20,12296,0.0025200494102341486,0.009839701537089542,14,20,0.029575347900390625,0.11531829833984375,-0.00017424507033744763,0.015030953691300197
