path,subject,beta_log_previous_interval,n_events,analysis,response_window_ms,baseline_window_ms,minimum_previous_interval_ms,n_selected_events,n_sessions,n_subjects,median_beta,mean_beta,n_positive,p_two_sided,ci_low,ci_high
sub-anm226694/sub-anm226694_ses-20140222_obj-cj20ns_behavior+icephys+ogen.nwb,anm226694,-0.2583630086470095,716,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm226694/sub-anm226694_ses-20140225_behavior+icephys+ogen.nwb,anm226694,-0.06582932616710291,841,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm226695/sub-anm226695_ses-20140224_obj-1d0uka0_behavior+icephys+ogen.nwb,anm226695,-0.0922804435382541,155,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm226695/sub-anm226695_ses-20140224_obj-y42tpg_behavior+icephys+ogen.nwb,anm226695,-0.06625034448683799,248,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm226695/sub-anm226695_ses-20140225_behavior+icephys+ogen.nwb,anm226695,-0.20407524749493075,310,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm234230/sub-anm234230_ses-20140119_behavior+icephys+ogen.nwb,anm234230,-0.06955152170167822,454,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm234231/sub-anm234231_ses-20140126_behavior+icephys+ogen.nwb,anm234231,-0.1006650781186936,282,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm234232/sub-anm234232_ses-20140108_behavior+icephys+ogen.nwb,anm234232,0.05605800110502601,468,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm244024/sub-anm244024_ses-20141111_behavior+icephys+ogen.nwb,anm244024,-0.16337207376786586,93,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm244024/sub-anm244024_ses-20141112_obj-8tj80c_behavior+icephys+ogen.nwb,anm244024,0.011988350703579717,263,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm244024/sub-anm244024_ses-20141112_obj-jyoa6b_behavior+icephys+ogen.nwb,anm244024,0.0753533734078389,84,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
sub-anm244025/sub-anm244025_ses-20141026_obj-1q7bmz0_behavior+icephys+ogen.nwb,anm244025,-0.054796510808548596,357,post_only,10,,0,16950,38,21,0.011988350703579717,0.030553271327644446,12,0.7334699630737305,-0.06011649022601717,0.0476071720671155
